ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,TRIAGE_CALL_OUTCOME,STRATEGY_CALL_OUTCOME,OFFER_PRESENTED,CONTRACT_VALUE,CASH_COLLECTED,SETTER_USER_ID,CLOSER_USER_ID,PROGRAM,OBJECTIONS_FACED
acti_TAuE1xYf1sbx73HedY3Sn2FDOkEDHQyItsxs9mNf0sK,lead_rT7TRkQdHYSqAC90adnzRLICJsWyJb12QU5R3dkdW2x,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,No,,,user_nDycH3d5wn1pmMAhkC8dq4O7E2zExikgamMxXh8FztV,user_B8T558DOMhUj9bqaNHV4242vxxCig63uDwtAbJjV6mt,,"[""Wasn't Looking For What We Offered""]"
acti_ExQKgWn9LW5UbxuROLB3bknpfbGxCmTQKIpcYdUh6B4,lead_rT7TRkQdHYSqAC90adnzRLICJsWyJb12QU5R3dkdW2x,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_C0dHCWt7ZEzGIMmPTbTTSOxRhq9ouAJnuIiY93VJyrO,lead_rT7TRkQdHYSqAC90adnzRLICJsWyJb12QU5R3dkdW2x,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_SUZBunpvhNq5uADMvhNCqhMDGjmKFVH71Cm6TEQQCpa,lead_rT7TRkQdHYSqAC90adnzRLICJsWyJb12QU5R3dkdW2x,actitype_38341SWOKRkRHHAqWEqSJu,1. Strategy Call Scheduled,,,,,user_nDycH3d5wn1pmMAhkC8dq4O7E2zExikgamMxXh8FztV,,,
acti_ZODrzfdneOwnaS4NyruBN7zanyqbGXrNcLUrutnsd0T,lead_n4DqUDCEaf1HjQVeE7gpt5QIjSzMyKOH2l48GhBO92P,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_GNaqwk0dapzl3m7tIg2FUsnRJ9sOtsuhHFAza9YAclb,lead_n4DqUDCEaf1HjQVeE7gpt5QIjSzMyKOH2l48GhBO92P,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,No,,,user_nDycH3d5wn1pmMAhkC8dq4O7E2zExikgamMxXh8FztV,user_dvIiSWcGaEUwdQTi3Fbj4kWXdu6rZRsakybH2zcVMti,,"[""Trust""]"
acti_ajPukRlr4rX9kOkn7bIBOunUa3HvWkPL43TL8Fgrjhk,lead_n4DqUDCEaf1HjQVeE7gpt5QIjSzMyKOH2l48GhBO92P,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_PedEWDoqq4EB3RIge6fcfE0ywSmtNoP3dUgVHXNwXfC,lead_n4DqUDCEaf1HjQVeE7gpt5QIjSzMyKOH2l48GhBO92P,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_XlSBvyuK1MHlv8jJ8yy2DFEGw63TRbvEon6V9OJZ967,lead_Qtm1SSD66xhaizRO1M5PGmOzDm9sIXDaz71dTrnKdcy,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,Yes,30000,,user_mrokNuNoTE6Z44kv7DzHfPrePPQFLe2tMKwJKaY4urL,user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY,Gold,"[""Think About It""]"
acti_HIk2jVhLR7wovyxGkiGLKxS1v673I5oTfx3hkLwHC3O,lead_2msiJTCTSJhSLuSXb1qNNnmYdmSGtvZ6mKcLssLK0w0,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_C9cda4bDAfMHzs3rElWlGAH8eREvMMRF0PBmRNgapb0,lead_Tb6zZ4fyGqcWuAKpc99pFVFcFpPXnzdWFmtwW3eOZTA,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_bIC8h3SkPLHpknGRXJtOuTH1hcGX3xflJaJp0DU3E2K,lead_Tb6zZ4fyGqcWuAKpc99pFVFcFpPXnzdWFmtwW3eOZTA,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_Qi2DsecSOqUtaEVQtlF3uC8JulbyX5ON8McqHjuJixR,lead_cYGYmxewN75fmqO3HN57aFUFRxCnhl7xBwKOV7gsMB5,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_bKE59gmU2GEeQ1k5OTAMZJZ099eL5k7eacZMqe1nsMy,lead_b2gEv31oAJSXcQF5jMEjlOomMhvU9dc6nZEYMoAZrDY,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_1JhV9mkNG4xQhGRvIhoOpZm7Nc2kuK5zo6N2mtw8oh6,lead_09U36w027MmoY5j6oOBsUJeGBneo2g1CTt6BN81ph4j,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_PDWfPC93eOVDQTaabdHoTnK9nzQ1ETjXJZEyEnVvYno,lead_09U36w027MmoY5j6oOBsUJeGBneo2g1CTt6BN81ph4j,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_XJLVEvLBd4EdHog6rMYKUr81PRsUjk2zjBviiRmwTFC,lead_09U36w027MmoY5j6oOBsUJeGBneo2g1CTt6BN81ph4j,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_YKqXuKPNDofB9JKHSsrXBFaNv9UvP37hRvsHoHZldr1,lead_Ckaltfe8WeTA8jzVKUmyEtc2THn0r9OFAnLazgL9U1c,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_0kIEF4aesMU8BN7gICuRu3B2sDSzdZY92gJylGXHdlJ,lead_Ckaltfe8WeTA8jzVKUmyEtc2THn0r9OFAnLazgL9U1c,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_KTdsqNIsUOgOPzIQQGza6a4RZoliaBgqAMihJnT7DgV,lead_Ckaltfe8WeTA8jzVKUmyEtc2THn0r9OFAnLazgL9U1c,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_dk5A10gI7AGNrF2ZMbq5aAgRwRavW0RHPuZSwbBlC89,lead_Ckaltfe8WeTA8jzVKUmyEtc2THn0r9OFAnLazgL9U1c,actitype_2VcSfZQX6FeIL8kkxy48C2,,4. No Show,No,,,user_bVJs5qUUorvjXzLVcdGaaenO8UOXTMVtgfgVgPyh7D9,user_C0hbDLzqDr4F75TN87RLJ4Ow0HpiJT7NQyR8xsUI4ZY,,"[""No Show""]"
acti_cJBJUbw66cg0zr0WO9ujpqDtsfqrDndPMcXr2jhyXpQ,lead_Ckaltfe8WeTA8jzVKUmyEtc2THn0r9OFAnLazgL9U1c,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_VZkEzz3NCKKlRBT30mrO5vULRXpMicwK8MBTSkB4ld4,lead_oQsUv1dkOinuCUZgb6XpULqEOV7XbQvsbSa1Zih6YJZ,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,Yes,20000,,user_lTv72kshXP7JpPMAMfUAAmv64JLLZxFJg08rtcYiOXJ,user_Kjvgs2c3jJuGJo7bMEzCfCZ69G8C4T767bX3alwVSH3,Gold,"[""Money"",""Time""]"
acti_05cPeM4R2XpCp2Js5c7DZdrB1Y1zwZr9V2qj3PFmzZn,lead_oQsUv1dkOinuCUZgb6XpULqEOV7XbQvsbSa1Zih6YJZ,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_UEC5i8d2SzuEBp8NIHaCuxfEys2i76Tu3RJ4ujHqwcn,lead_oQsUv1dkOinuCUZgb6XpULqEOV7XbQvsbSa1Zih6YJZ,actitype_38341SWOKRkRHHAqWEqSJu,1. Strategy Call Scheduled,,,,,user_lTv72kshXP7JpPMAMfUAAmv64JLLZxFJg08rtcYiOXJ,,,
acti_SZjI3Hb8eSwsHfepPRVWS4Alsl735VvBFeQ1ETDd9PX,lead_c4kMavdxAFQGxtcdtRDK99Q7JKQWYcp4UgDwIo80mn1,actitype_2VcSfZQX6FeIL8kkxy48C2,,5. Reschedule,No,,,user_ZL08XmfRy9oH3vcZmD92Z28begT1hFoKBKcK5LreJXs,user_ZL08XmfRy9oH3vcZmD92Z28begT1hFoKBKcK5LreJXs,,"[""No Show""]"
acti_LUkiNAi2OVUoyaIzJRz7kLwrRH0BXi0MoJwVK75VGPo,lead_c4kMavdxAFQGxtcdtRDK99Q7JKQWYcp4UgDwIo80mn1,actitype_2VcSfZQX6FeIL8kkxy48C2,,4. No Show,No,,,user_BD3inh6E77JXfLchKNi46mxfkzubV7KFfvlatgZoaHw,user_PZjKUZaea9YdOy2AXrwTe6VWdFHHNQdTHNc6PBhoxtg,,"[""No Show""]"
acti_IeQkffqKuzBFxJSTK363Xsxx76XA9DH1aQQCiKL1Bnp,lead_c4kMavdxAFQGxtcdtRDK99Q7JKQWYcp4UgDwIo80mn1,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_5HNhSEmrWFaN3tWL7LTzwh5hs40dJlD36NvrPNbNdCZ,lead_izpBVKumNi0Iz39VsrMj160PDk5oBswhnuomRHP7vu6,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_ZtxR3dn5Gu6PvJ2egNDixKgXNs7R5g4Dm4Ykwn42gm4,lead_6iS0glNcqnOvl4IeUyjbF9biXrLJx0Imgb4pB4qkE7J,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_IjBFuMF6X2fiKDc4O6kfA03CWjEKrazy58lJE1Ewwvv,lead_6iS0glNcqnOvl4IeUyjbF9biXrLJx0Imgb4pB4qkE7J,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_pGc7q4LW0osEEhmi6HJAIsYyWLGzxjACaWYPUmno1Gq,lead_T6h8rc9UYyRJLrytkKwatPPtQd5phVDsjVWuwKOm946,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_GcSDIr0Ib1NLMdHMnikttwDA1wTJJWsNgLtjOvJs0YD,lead_mNa40vqkjYj6IMlejTuLplxu9m3rccpJ07DjtdvxgDZ,actitype_5ltasxnH1UU2j1on4op8qi,,,,,,,user_VJVXAYizTx7UwbnRvjqUZBGJFvZ8T497IwIKyoYMiWo,,
acti_ogGGEH2fMmpUf69QPJOxd9Y4lL3ML7kp7KgTXwe2kAg,lead_mNa40vqkjYj6IMlejTuLplxu9m3rccpJ07DjtdvxgDZ,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_WxNEG14QJEzFnaIiJmZ4AV46cjekLz9LFoQL1oaYb9a,lead_mNa40vqkjYj6IMlejTuLplxu9m3rccpJ07DjtdvxgDZ,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_1fyWQhjck8FItHxE3MP828h86BMQT9Ida1vvjvjjvZw,lead_mNa40vqkjYj6IMlejTuLplxu9m3rccpJ07DjtdvxgDZ,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,No,,,user_p62zh76kPDTEjh5K8myfYtefWxYKBWZ5xd01sehdi2H,user_VJVXAYizTx7UwbnRvjqUZBGJFvZ8T497IwIKyoYMiWo,,"[""No Objections""]"
acti_KcBRnYTCWREcWizcD4rLYMBWzoWNlZOGRcHKUHVTHbN,lead_mNa40vqkjYj6IMlejTuLplxu9m3rccpJ07DjtdvxgDZ,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_qznAaNvHZLRicPTf9KDVQlhkw3TA460spjxEukLvWB1,lead_WYUGhAraSv9UP3leDiOB5CRP1TeNMvdOS969PMxFNJY,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_XWSlKi2FrCpnOONwZZlYALuste3wLNQ3R3hIOVo92yY,lead_rvRcsLnmf86ax0EqRQshektLAtaBJgs1ppBQ1hgR7o3,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,No,,,user_bVJs5qUUorvjXzLVcdGaaenO8UOXTMVtgfgVgPyh7D9,user_HHnRmv8FSVD0wRVgH0ZRZim8nLi4GstsQGJMsrTpRHR,,"[""No Objections""]"
acti_wOLP43XbgNiTJ3So0Wlcoa2LS8uVBQA1GAmGLdig8DB,lead_rvRcsLnmf86ax0EqRQshektLAtaBJgs1ppBQ1hgR7o3,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_iHahZBwNhSDEv0TOUEV0romUwyIL8SoHIRVXM39Vw8P,lead_rvRcsLnmf86ax0EqRQshektLAtaBJgs1ppBQ1hgR7o3,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_EgliIjIpAPELK5kbulyYpcUimz8xVsQI2liiSa2W33x,lead_ds1tnTV7snXOLY1I4EyNOWHmHSpTnsLCmJZ2g8XOnJh,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_CmiIr7L2Lj5a1ARtXvybpbhUFvppBebt1Eq0m0bavd7,lead_d93c8cZijaOgpVjbuLtyj1ZhBbPIbwNVA6trcXjpHLO,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_w8MAsYjAAaiHsOqMreqfdnYlXqjKiFXUQuBE2lmdS0f,lead_mVUUbDXdTs9neZ9YW8bFk0p3LEQwmq4VtsMr3B9JYYe,actitype_2VcSfZQX6FeIL8kkxy48C2,,2. Admin Cancel,No,,,user_B8T558DOMhUj9bqaNHV4242vxxCig63uDwtAbJjV6mt,user_Kjvgs2c3jJuGJo7bMEzCfCZ69G8C4T767bX3alwVSH3,,"[""No Show""]"
acti_4xuzZOv7e8159AIjb91aTDE75hRqywJSIr755EuaTvf,lead_mVUUbDXdTs9neZ9YW8bFk0p3LEQwmq4VtsMr3B9JYYe,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_2qAwpXUd5PXPgAL6rP3XCsiTsFZPhUr9obB1i6kBGx1,lead_mVUUbDXdTs9neZ9YW8bFk0p3LEQwmq4VtsMr3B9JYYe,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_UYIW7njwYCUcoPJi2Ohd2pni5IVv5XgzGZy6OI1m015,lead_mVUUbDXdTs9neZ9YW8bFk0p3LEQwmq4VtsMr3B9JYYe,actitype_2VcSfZQX6FeIL8kkxy48C2,,4. No Show,No,,,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,,"[""No Show""]"
acti_BCadsVsYlw1s0bydLKH4MJGlRALR2m1ozipFrlIW84V,lead_mVUUbDXdTs9neZ9YW8bFk0p3LEQwmq4VtsMr3B9JYYe,actitype_2VcSfZQX6FeIL8kkxy48C2,,4. No Show,No,,,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,,"[""No Show""]"
